,Coden,SCAN,"SCAN
(project period only)","SCAN
(project period 
& relevant orders)",GBIF?,"Total proposed 
transcribed records","Reported records 
(TPT tracking)
(transcribed records)","Transcription 
Progress %","Proposed 
scanned vials","Scanned
vials","Scanned vials
progress","Proposed 
scanned slides","Scanned
slides","Scanned slides
progress","High Res (?)
Images proposed
(proposal table)","High Res Images
finished","High Res Images
progress",Notes,"Total all combined
records proposed","Total all combined
records finished","Overall combined
progress/finished"
The Purdue Entomological Research Collection (PU-PERC) ,PU | PERC,"60,014","26,948","5,136",no,"27,600","6,404",23.2%,300,0,0.0%,0,0,n/a,300,0,0.0%,,"28,200","6,404",22.7%
Frost Entomological Museum (Penn State University) (PSU),PSU,"136,791","76,933","6,459",yes,"38,301","19,112",49.9%,"8,301",801,9.6%,500,"2,139",427.8%,200,0,0.0%,,"47,302","22,052",46.6%
Texas A&M University Insect Collection (TAMU-TAMUIC) ,TAMU,"1,046,105","999,763","263,953",yes,"165,000","43,182",26.2%,"13,595","13,595",100.0%,"23,452","4,573",19.5%,500,0,0.0%,,"202,547","61,350",30.3%
University of California Santa Barbara Invertebrate Zoology Collection (UCSB-IZC) ,UCSB,"32,073","27,865","5,648",yes,0,0,,0,0,,0,0,n/a,0,0,n/a,,n/a,0,n/a
University of Hawaii Insect Museum (UHIM-UHIM) ,UH | UHIM,"126,338","1,581","1,520",yes,"11,316","5,018",44.3%,0,0,,"4,600","3,402",74.0%,4600,95,2.1%,,"20,516","8,515",41.5%
"University of Michigan Museum of Zoology, Division of Insects (UMMZ-UMMZI) ",UMMZ | UM | UMMZI,"363,999","113,821","28,311",yes,"180,000","96,795",53.8%,0,0,,"180,000","39,655",22.0%,0,259,#DIV/0!,,"360,000","136,709",38.0%
University of Minnesota Insect Collection (MIN-UMSP) ,UMSP | UMN,"239,798","192,342","4,084",yes,"56,252",0,0.0%,0,0,,"56,204","94,495",168.1%,48,0,0.0%,lots of scanned slides- just not transcribed?,"112,504","94,495",84.0%
University of New Hampshire (UNH),UNH,"17,840",0?,,yes,"30,000","48,611",162.0%,"1,000",0,0.0%,"1,000",0,0.0%,4500,0,0.0%,,"36,500","48,611",133.2%
Nebraska State Museum - ParasiteTracker (UNL-NSM) ,UNL | HWML,"60,965","60,965",,no,"10,000","3,666",36.7%,0,0,,"10,000","18,280",182.8%,0,0,n/a,Transcribed records are in available and summarized in Arctos: https://arctos.database.museum/SpecimenResults.cfm?media_type=any&guid_prefix=HWML:Para,"20,000","21,946",109.7%
"Price Institute of Parasite Research, School of Biological Sciences, University of Utah (UTAH-PIPR) ",UU | PIPR | UTAH,"8,186","4,777","2,710",yes,"48,000","10,786",22.5%,"8,300",0,0.0%,"39,700","10,186",25.7%,0,0,n/a,,"96,000","20,972",21.8%
University of Wisconsin-Stevens Point (UWSP-ENT) ,UWSP,"4,746","4,746","4,746",yes,"9,280","3,190",34.4%,0,0,,"9,280","3,019",32.5%,0,0,n/a,,"18,560","6,209",33.5%
Wisconsin Insect Research Collection (WIS-IH-WIRC) ,UWM | WIRC,"26,623","20,158","20,111",no,"19,985","22,379",112.0%,"6,426",0,0.0%,"13,053",0,0.0%,0,0,n/a,,"39,464","22,379",56.7%
Yale Peabody Museum (YPM),YPM,"373,969","329,951","17,378",yes,"16,245","17,427",107.3%,"1,295","2,401",185.4%,"3,310","3,409",103.0%,2015,3408,169.1%,,"22,865","26,645",116.5%
Denver Museum of Nature & Science - Parasites,DMNS,"1,096","1,096","1,096",,0,0,,0,0,,0,0,,0,0,,,n/a,0,n/a
Northern Arizona University,NAU,265,265,75,,0,0,,0,0,#DIV/0!,0,0,,0,0,,,0,0,n/a
Carnegie Museum of Natural History (new PEN fall 2021),CMNH,0,,,,0,X,,X,0,,X,0,,X,0,,,#VALUE!,#VALUE!,
